condition,quantity,model,index,x_he,y,yerr
150_5000,integrand_he,MACE,1,0.953125,0.47990235,0.05199109
150_5000,integrand_he,MACE,2,0.921875,0.45167034,0.04309642
150_5000,integrand_he,MACE,3,0.859375,0.40428659,0.02328893
150_5000,integrand_he,MACE,4,0.796875,0.33748752,0.01452374
150_5000,integrand_he,MACE,5,0.734375,0.29615208,0.00978945
150_5000,integrand_he,MACE,6,0.609375,0.15425565,0.01016942
150_5000,integrand_he,MACE,7,0.546875,0.12050841,0.00404775
150_5000,integrand_he,MACE,8,0.484375,0.06037358,0.00383785
150_5000,integrand_he,MACE,9,0.421875,0.04499871,0.00173009
150_5000,integrand_he,MACE,10,0.328125,0.01660086,0.00856538
150_5000,integrand_he,MACE,11,0.265625,0.02629451,0.00487883
150_5000,integrand_he,MACE,12,0.234375,0.0503899,0.00568511
150_5000,integrand_he,MACE,13,0.1875,0.09151113,0.00957232
150_5000,integrand_he,MACE,14,0.15625,0.13840511,0.00550694
150_5000,integrand_he,MACE,15,0.140625,0.14842312,0.0083988
150_5000,integrand_he,MACE,16,0.078125,0.36326395,0.04293259
150_5000,integrand_he,MACE,17,0.046875,0.56100652,0.02995937
150_5000,integrand_he,MACE,18,0.015625,0.77947325,0.0936477
150_5000,mu_he,MACE,0,0.984375,-0.00366163953,0.000103670474
150_5000,mu_he,MACE,1,0.953125,-0.0106865801,0.000287761595
150_5000,mu_he,MACE,2,0.921875,-0.0174113977,0.000348106848
150_5000,mu_he,MACE,3,0.859375,-0.0304238805,0.000546010166
150_5000,mu_he,MACE,4,0.796875,-0.0425523741,0.000676015028
150_5000,mu_he,MACE,5,0.734375,-0.0537594515,0.000774576941
150_5000,mu_he,MACE,6,0.609375,-0.0719577001,0.00108580591
150_5000,mu_he,MACE,7,0.546875,-0.0783961297,0.00117244606
150_5000,mu_he,MACE,8,0.484375,-0.0831497867,0.0012034842
150_5000,mu_he,MACE,9,0.421875,-0.0863020548,0.00121817585
150_5000,mu_he,MACE,10,0.328125,-0.0896543277,0.0013348188
150_5000,mu_he,MACE,11,0.265625,-0.0916171167,0.00146148268
150_5000,mu_he,MACE,12,0.234375,-0.0936955146,0.00150500043
150_5000,mu_he,MACE,13,0.1875,-0.100552212,0.00170227946
150_5000,mu_he,MACE,14,0.15625,-0.109629414,0.00183246686
150_5000,mu_he,MACE,15,0.140625,-0.116173363,0.00186510588
150_5000,mu_he,MACE,16,0.078125,-0.18130164,0.00322628342
150_5000,mu_he,MACE,17,0.046875,-0.28354069,0.00465557679
150_5000,mu_he,MACE,18,0.015625,-0.602437006,0.00832791191
150_5000,mu_h,MACE,0,0.984375,-0.639077261,0.0225803254
150_5000,mu_h,MACE,1,0.953125,-0.399848898,0.0163112814
150_5000,mu_h,MACE,2,0.921875,-0.296802018,0.00931753822
150_5000,mu_h,MACE,3,0.859375,-0.187854743,0.00541605376
150_5000,mu_h,MACE,4,0.796875,-0.128788619,0.00370104999
150_5000,mu_h,MACE,5,0.734375,-0.0919798719,0.0027522066
150_5000,mu_h,MACE,6,0.609375,-0.0543651647,0.00172962278
150_5000,mu_h,MACE,7,0.546875,-0.0455343916,0.00137202133
150_5000,mu_h,MACE,8,0.484375,-0.0404732982,0.00116973568
150_5000,mu_h,MACE,9,0.421875,-0.0378627459,0.00103366904
