pair,method,x_he,temperature_K,volume_A3,r_A,g_r
gHeHe,vdW-DF,0.5,1000,64.0,5.8985,nan
gHeHe,vdW-DF,0.5,1000,64.0,5.9275,nan
gHeHe,vdW-DF,0.5,1000,64.0,5.9565,nan
gHeHe,vdW-DF,0.5,1000,64.0,5.9855,nan
gHeHe,vdW-DF,0.5,1000,80.0,0.2145,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.2435,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.2725,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.3015,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.3305,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.3595,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.3885,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.4175,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.4465,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.4755,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.5045,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.5335,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.5625,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.5915,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.6205,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.6495,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.6785,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.7075,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.7365,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.7655,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.7945,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.8235,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.8525,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.8815,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.9105,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.9395,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.9685,0.0
gHeHe,vdW-DF,0.5,1000,80.0,0.9975,0.0
gHeHe,vdW-DF,0.5,1000,80.0,1.0265,0.0
gHeHe,vdW-DF,0.5,1000,80.0,1.0555,0.0
gHeHe,vdW-DF,0.5,1000,80.0,1.0845,0.0
gHeHe,vdW-DF,0.5,1000,80.0,1.1135,0.001991865
gHeHe,vdW-DF,0.5,1000,80.0,1.1425,0.011677342
gHeHe,vdW-DF,0.5,1000,80.0,1.1715,0.05971308125
gHeHe,vdW-DF,0.5,1000,80.0,1.2005,0.1646083933333
gHeHe,vdW-DF,0.5,1000,80.0,1.2295,0.4518064375
gHeHe,vdW-DF,0.5,1000,80.0,1.2585,1.015866466667
gHeHe,vdW-DF,0.5,1000,80.0,1.2875,1.67988
gHeHe,vdW-DF,0.5,1000,80.0,1.3165,2.597830666667
gHeHe,vdW-DF,0.5,1000,80.0,1.3455,3.44598375
gHeHe,vdW-DF,0.5,1000,80.0,1.3745,4.022644
gHeHe,vdW-DF,0.5,1000,80.0,1.4035,4.3265625
gHeHe,vdW-DF,0.5,1000,80.0,1.4325,4.196795625
gHeHe,vdW-DF,0.5,1000,80.0,1.4615,3.723128
gHeHe,vdW-DF,0.5,1000,80.0,1.4905,3.26663625
gHeHe,vdW-DF,0.5,1000,80.0,1.5195,2.73141
gHeHe,vdW-DF,0.5,1000,80.0,1.5485,2.2422425
gHeHe,vdW-DF,0.5,1000,80.0,1.5775,1.756593333333
gHeHe,vdW-DF,0.5,1000,80.0,1.6065,1.420069375
gHeHe,vdW-DF,0.5,1000,80.0,1.6355,1.0983742
gHeHe,vdW-DF,0.5,1000,80.0,1.6645,0.85854
gHeHe,vdW-DF,0.5,1000,80.0,1.6935,0.7110454666667
gHeHe,vdW-DF,0.5,1000,80.0,1.7225,0.586746875
gHeHe,vdW-DF,0.5,1000,80.0,1.7515,0.5118868125
gHeHe,vdW-DF,0.5,1000,80.0,1.7805,0.4537365333333
gHeHe,vdW-DF,0.5,1000,80.0,1.8095,0.390964
gHeHe,vdW-DF,0.5,1000,80.0,1.8385,0.3328502666667
gHeHe,vdW-DF,0.5,1000,80.0,1.8675,0.28307925
gHeHe,vdW-DF,0.5,1000,80.0,1.8965,0.2640305333333
gHeHe,vdW-DF,0.5,1000,80.0,1.9255,0.2657135
gHeHe,vdW-DF,0.5,1000,80.0,1.9545,0.2448778
gHeHe,vdW-DF,0.5,1000,80.0,1.9835,0.2510739375
gHeHe,vdW-DF,0.5,1000,80.0,2.0125,0.2504362666667
gHeHe,vdW-DF,0.5,1000,80.0,2.0415,0.271194875
gHeHe,vdW-DF,0.5,1000,80.0,2.0705,0.2791416666667
gHeHe,vdW-DF,0.5,1000,80.0,2.0995,0.3082303125
gHeHe,vdW-DF,0.5,1000,80.0,2.1285,0.344020625
gHeHe,vdW-DF,0.5,1000,80.0,2.1575,0.3766475333333
gHeHe,vdW-DF,0.5,1000,80.0,2.1865,0.39353025
gHeHe,vdW-DF,0.5,1000,80.0,2.2155,0.4453866666667
gHeHe,vdW-DF,0.5,1000,80.0,2.2445,0.5031965625
gHeHe,vdW-DF,0.5,1000,80.0,2.2735,0.5669999333333
gHeHe,vdW-DF,0.5,1000,80.0,2.3025,0.6571923125
gHeHe,vdW-DF,0.5,1000,80.0,2.3315,0.7583740666667
gHeHe,vdW-DF,0.5,1000,80.0,2.3605,0.8590325
gHeHe,vdW-DF,0.5,1000,80.0,2.3895,0.90346
gHeHe,vdW-DF,0.5,1000,80.0,2.4185,0.9883221875
gHeHe,vdW-DF,0.5,1000,80.0,2.4475,1.012954875
gHeHe,vdW-DF,0.5,1000,80.0,2.4765,1.023603133333
gHeHe,vdW-DF,0.5,1000,80.0,2.5055,0.945615875
gHeHe,vdW-DF,0.5,1000,80.0,2.5345,0.8694536666667
gHeHe,vdW-DF,0.5,1000,80.0,2.5635,0.7974926875
gHeHe,vdW-DF,0.5,1000,80.0,2.5925,0.7185922666667
gHeHe,vdW-DF,0.5,1000,80.0,2.6215,0.6699243125
gHeHe,vdW-DF,0.5,1000,80.0,2.6505,0.6175772666667
gHeHe,vdW-DF,0.5,1000,80.0,2.6795,0.53945475
gHeHe,vdW-DF,0.5,1000,80.0,2.7085,0.4901396666667
gHeHe,vdW-DF,0.5,1000,80.0,2.7375,0.4378966875
gHeHe,vdW-DF,0.5,1000,80.0,2.7665,0.3904515625
gHeHe,vdW-DF,0.5,1000,80.0,2.7955,0.3545414666667
gHeHe,vdW-DF,0.5,1000,80.0,2.8245,0.307385375
gHeHe,vdW-DF,0.5,1000,80.0,2.8535,0.2684688666667
gHeHe,vdW-DF,0.5,1000,80.0,2.8825,0.251434125
gHeHe,vdW-DF,0.5,1000,80.0,2.9115,0.2277912
gHeHe,vdW-DF,0.5,1000,80.0,2.9405,0.2131526875
gHeHe,vdW-DF,0.5,1000,80.0,2.9695,0.2029414
gHeHe,vdW-DF,0.5,1000,80.0,2.9985,0.1880091875
gHeHe,vdW-DF,0.5,1000,80.0,3.0275,0.1681722666667
gHeHe,vdW-DF,0.5,1000,80.0,3.0565,0.1578305625
gHeHe,vdW-DF,0.5,1000,80.0,3.0855,0.1422698
gHeHe,vdW-DF,0.5,1000,80.0,3.1145,0.1236760625
gHeHe,vdW-DF,0.5,1000,80.0,3.1435,0.10103035625
gHeHe,vdW-DF,0.5,1000,80.0,3.1725,0.08437279333333
gHeHe,vdW-DF,0.5,1000,80.0,3.2015,0.06384594375
gHeHe,vdW-DF,0.5,1000,80.0,3.2305,0.0546078
gHeHe,vdW-DF,0.5,1000,80.0,3.2595,nan
gHeHe,vdW-DF,0.5,1000,80.0,3.2885,nan
gHeHe,vdW-DF,0.5,1000,80.0,3.3175,nan
gHeHe,vdW-DF,0.5,1000,80.0,3.3465,nan
gHeHe,vdW-DF,0.5,1000,80.0,3.3755,nan
gHeHe,vdW-DF,0.5,1000,80.0,3.4045,nan
gHeHe,vdW-DF,0.5,1000,80.0,3.4335,nan
gHeHe,vdW-DF,0.5,1000,80.0,3.4625,nan
gHeHe,vdW-DF,0.5,1000,80.0,3.4915,nan
gHeHe,vdW-DF,0.5,1000,80.0,3.5205,nan
gHeHe,vdW-DF,0.5,1000,80.0,3.5495,nan
gHeHe,vdW-DF,0.5,1000,80.0,3.5785,nan
gHeHe,vdW-DF,0.5,1000,80.0,3.6075,nan
gHeHe,vdW-DF,0.5,1000,80.0,3.6365,nan
gHeHe,vdW-DF,0.5,1000,80.0,3.6655,nan
gHeHe,vdW-DF,0.5,1000,80.0,3.6945,nan
gHeHe,vdW-DF,0.5,1000,80.0,3.7235,nan
gHeHe,vdW-DF,0.5,1000,80.0,3.7525,nan
gHeHe,vdW-DF,0.5,1000,80.0,3.7815,nan
