pair,method,x_he,temperature_K,volume_A3,r_A,g_r
gHH,vdW-DF,0.5,1000,80.0,0.7365,2.19712625
gHH,vdW-DF,0.5,1000,80.0,0.7655,1.692420666667
gHH,vdW-DF,0.5,1000,80.0,0.7945,1.2477075
gHH,vdW-DF,0.5,1000,80.0,0.8235,0.9870387333333
gHH,vdW-DF,0.5,1000,80.0,0.8525,0.820608125
gHH,vdW-DF,0.5,1000,80.0,0.8815,0.7663869333333
gHH,vdW-DF,0.5,1000,80.0,0.9105,0.7263340625
gHH,vdW-DF,0.5,1000,80.0,0.9395,0.759525
gHH,vdW-DF,0.5,1000,80.0,0.9685,0.754135875
gHH,vdW-DF,0.5,1000,80.0,0.9975,0.7880554666667
gHH,vdW-DF,0.5,1000,80.0,1.0265,0.843964
gHH,vdW-DF,0.5,1000,80.0,1.0555,0.8810654
gHH,vdW-DF,0.5,1000,80.0,1.0845,0.9117195
gHH,vdW-DF,0.5,1000,80.0,1.1135,0.9550265625
gHH,vdW-DF,0.5,1000,80.0,1.1425,0.9782062666667
gHH,vdW-DF,0.5,1000,80.0,1.1715,1.0294500625
gHH,vdW-DF,0.5,1000,80.0,1.2005,1.054988
gHH,vdW-DF,0.5,1000,80.0,1.2295,1.08470625
gHH,vdW-DF,0.5,1000,80.0,1.2585,1.139077333333
gHH,vdW-DF,0.5,1000,80.0,1.2875,1.175176875
gHH,vdW-DF,0.5,1000,80.0,1.3165,1.218074
gHH,vdW-DF,0.5,1000,80.0,1.3455,1.25196375
gHH,vdW-DF,0.5,1000,80.0,1.3745,1.284112666667
gHH,vdW-DF,0.5,1000,80.0,1.4035,1.31227875
gHH,vdW-DF,0.5,1000,80.0,1.4325,1.33575
gHH,vdW-DF,0.5,1000,80.0,1.4615,1.370915333333
gHH,vdW-DF,0.5,1000,80.0,1.4905,1.401078125
gHH,vdW-DF,0.5,1000,80.0,1.5195,1.418389333333
gHH,vdW-DF,0.5,1000,80.0,1.5485,1.411613125
gHH,vdW-DF,0.5,1000,80.0,1.5775,1.396476666667
gHH,vdW-DF,0.5,1000,80.0,1.6065,1.367441875
gHH,vdW-DF,0.5,1000,80.0,1.6355,1.32279
gHH,vdW-DF,0.5,1000,80.0,1.6645,1.267103125
gHH,vdW-DF,0.5,1000,80.0,1.6935,1.201099333333
gHH,vdW-DF,0.5,1000,80.0,1.7225,1.1415875
gHH,vdW-DF,0.5,1000,80.0,1.7515,1.08299125
gHH,vdW-DF,0.5,1000,80.0,1.7805,1.015313333333
gHH,vdW-DF,0.5,1000,80.0,1.8095,0.9643570625
gHH,vdW-DF,0.5,1000,80.0,1.8385,0.9123986666667
gHH,vdW-DF,0.5,1000,80.0,1.8675,0.864651375
gHH,vdW-DF,0.5,1000,80.0,1.8965,0.8185328666667
gHH,vdW-DF,0.5,1000,80.0,1.9255,0.782893625
gHH,vdW-DF,0.5,1000,80.0,1.9545,0.76306
gHH,vdW-DF,0.5,1000,80.0,1.9835,0.7381138125
gHH,vdW-DF,0.5,1000,80.0,2.0125,0.7201215333333
gHH,vdW-DF,0.5,1000,80.0,2.0415,0.7138523125
gHH,vdW-DF,0.5,1000,80.0,2.0705,0.7157986
gHH,vdW-DF,0.5,1000,80.0,2.0995,0.7045779375
gHH,vdW-DF,0.5,1000,80.0,2.1285,0.7080250625
gHH,vdW-DF,0.5,1000,80.0,2.1575,0.7077172
gHH,vdW-DF,0.5,1000,80.0,2.1865,0.684983125
gHH,vdW-DF,0.5,1000,80.0,2.2155,0.6711263333333
gHH,vdW-DF,0.5,1000,80.0,2.2445,0.670894375
gHH,vdW-DF,0.5,1000,80.0,2.2735,0.6809768666667
gHH,vdW-DF,0.5,1000,80.0,2.3025,0.678136625
gHH,vdW-DF,0.5,1000,80.0,2.3315,0.6882066666667
gHH,vdW-DF,0.5,1000,80.0,2.3605,0.70352525
gHH,vdW-DF,0.5,1000,80.0,2.3895,0.7033594
gHH,vdW-DF,0.5,1000,80.0,2.4185,0.700174
gHH,vdW-DF,0.5,1000,80.0,2.4475,0.6908050625
gHH,vdW-DF,0.5,1000,80.0,2.4765,0.6776236666667
gHH,vdW-DF,0.5,1000,80.0,2.5055,0.651164125
gHH,vdW-DF,0.5,1000,80.0,2.5345,0.6301468
gHH,vdW-DF,0.5,1000,80.0,2.5635,0.5951273125
gHH,vdW-DF,0.5,1000,80.0,2.5925,0.5638035333333
gHH,vdW-DF,0.5,1000,80.0,2.6215,0.53326875
gHH,vdW-DF,0.5,1000,80.0,2.6505,0.4986456
gHH,vdW-DF,0.5,1000,80.0,2.6795,0.4572951875
gHH,vdW-DF,0.5,1000,80.0,2.7085,0.4185926666667
gHH,vdW-DF,0.5,1000,80.0,2.7375,0.387434125
gHH,vdW-DF,0.5,1000,80.0,2.7665,0.36068125
gHH,vdW-DF,0.5,1000,80.0,2.7955,0.3279986666667
gHH,vdW-DF,0.5,1000,80.0,2.8245,0.3038790625
gHH,vdW-DF,0.5,1000,80.0,2.8535,0.2816095333333
gHH,vdW-DF,0.5,1000,80.0,2.8825,0.256829625
gHH,vdW-DF,0.5,1000,80.0,2.9115,0.2375919333333
gHH,vdW-DF,0.5,1000,80.0,2.9405,0.2212276875
gHH,vdW-DF,0.5,1000,80.0,2.9695,0.1988921333333
gHH,vdW-DF,0.5,1000,80.0,2.9985,0.180034
gHH,vdW-DF,0.5,1000,80.0,3.0275,0.1614942666667
gHH,vdW-DF,0.5,1000,80.0,3.0565,0.1459919375
gHH,vdW-DF,0.5,1000,80.0,3.0855,0.1320896666667
gHH,vdW-DF,0.5,1000,80.0,3.1145,0.115505125
gHH,vdW-DF,0.5,1000,80.0,3.1435,0.0985796125
gHH,vdW-DF,0.5,1000,80.0,3.1725,0.08349824666667
gHH,vdW-DF,0.5,1000,80.0,3.2015,0.06785836875
gHH,vdW-DF,0.5,1000,80.0,3.2305,0.059001375
gHH,vdW-DF,0.5,1000,80.0,3.2595,nan
gHH,vdW-DF,0.5,1000,80.0,3.2885,nan
gHH,vdW-DF,0.5,1000,80.0,3.3175,nan
gHH,vdW-DF,0.5,1000,80.0,3.3465,nan
gHH,vdW-DF,0.5,1000,80.0,3.3755,nan
gHH,vdW-DF,0.5,1000,80.0,3.4045,nan
gHH,vdW-DF,0.5,1000,80.0,3.4335,nan
gHH,vdW-DF,0.5,1000,80.0,3.4625,nan
gHH,vdW-DF,0.5,1000,80.0,3.4915,nan
gHH,vdW-DF,0.5,1000,80.0,3.5205,nan
gHH,vdW-DF,0.5,1000,80.0,3.5495,nan
gHH,vdW-DF,0.5,1000,80.0,3.5785,nan
gHH,vdW-DF,0.5,1000,80.0,3.6075,nan
gHH,vdW-DF,0.5,1000,80.0,3.6365,nan
gHH,vdW-DF,0.5,1000,80.0,3.6655,nan
gHH,vdW-DF,0.5,1000,80.0,3.6945,nan
gHH,vdW-DF,0.5,1000,80.0,3.7235,nan
gHH,vdW-DF,0.5,1000,80.0,3.7525,nan
gHH,vdW-DF,0.5,1000,80.0,3.7815,nan
gHH,vdW-DF,0.5,1000,80.0,3.8105,nan
gHH,vdW-DF,0.5,1000,80.0,3.8395,nan
gHH,vdW-DF,0.5,1000,80.0,3.8685,nan
gHH,vdW-DF,0.5,1000,80.0,3.8975,nan
gHH,vdW-DF,0.5,1000,80.0,3.9265,nan
gHH,vdW-DF,0.5,1000,80.0,3.9555,nan
gHH,vdW-DF,0.5,1000,80.0,3.9845,nan
gHH,vdW-DF,0.5,1000,80.0,4.0135,nan
gHH,vdW-DF,0.5,1000,80.0,4.0425,nan
gHH,vdW-DF,0.5,1000,80.0,4.0715,nan
gHH,vdW-DF,0.5,1000,80.0,4.1005,nan
