pair,method,x_he,temperature_K,volume_A3,r_A,g_r
gHHe,vdW-DF,0.5,1000,64.0,3.7815,nan
gHHe,vdW-DF,0.5,1000,64.0,3.8105,nan
gHHe,vdW-DF,0.5,1000,64.0,3.8395,nan
gHHe,vdW-DF,0.5,1000,64.0,3.8685,nan
gHHe,vdW-DF,0.5,1000,64.0,3.8975,nan
gHHe,vdW-DF,0.5,1000,64.0,3.9265,nan
gHHe,vdW-DF,0.5,1000,64.0,3.9555,nan
gHHe,vdW-DF,0.5,1000,64.0,3.9845,nan
gHHe,vdW-DF,0.5,1000,64.0,4.0135,nan
gHHe,vdW-DF,0.5,1000,64.0,4.0425,nan
gHHe,vdW-DF,0.5,1000,64.0,4.0715,nan
gHHe,vdW-DF,0.5,1000,64.0,4.1005,nan
gHHe,vdW-DF,0.5,1000,64.0,4.1295,nan
gHHe,vdW-DF,0.5,1000,64.0,4.1585,nan
gHHe,vdW-DF,0.5,1000,64.0,4.1875,nan
gHHe,vdW-DF,0.5,1000,64.0,4.2165,nan
gHHe,vdW-DF,0.5,1000,64.0,4.2455,nan
gHHe,vdW-DF,0.5,1000,64.0,4.2745,nan
gHHe,vdW-DF,0.5,1000,64.0,4.3035,nan
gHHe,vdW-DF,0.5,1000,64.0,4.3325,nan
gHHe,vdW-DF,0.5,1000,64.0,4.3615,nan
gHHe,vdW-DF,0.5,1000,64.0,4.3905,nan
gHHe,vdW-DF,0.5,1000,64.0,4.4195,nan
gHHe,vdW-DF,0.5,1000,64.0,4.4485,nan
gHHe,vdW-DF,0.5,1000,64.0,4.4775,nan
gHHe,vdW-DF,0.5,1000,64.0,4.5065,nan
gHHe,vdW-DF,0.5,1000,64.0,4.5355,nan
gHHe,vdW-DF,0.5,1000,64.0,4.5645,nan
gHHe,vdW-DF,0.5,1000,64.0,4.5935,nan
gHHe,vdW-DF,0.5,1000,64.0,4.6225,nan
gHHe,vdW-DF,0.5,1000,64.0,4.6515,nan
gHHe,vdW-DF,0.5,1000,64.0,4.6805,nan
gHHe,vdW-DF,0.5,1000,64.0,4.7095,nan
gHHe,vdW-DF,0.5,1000,64.0,4.7385,nan
gHHe,vdW-DF,0.5,1000,64.0,4.7675,nan
gHHe,vdW-DF,0.5,1000,64.0,4.7965,nan
gHHe,vdW-DF,0.5,1000,64.0,4.8255,nan
gHHe,vdW-DF,0.5,1000,64.0,4.8545,nan
gHHe,vdW-DF,0.5,1000,64.0,4.8835,nan
gHHe,vdW-DF,0.5,1000,64.0,4.9125,nan
gHHe,vdW-DF,0.5,1000,64.0,4.9415,nan
gHHe,vdW-DF,0.5,1000,64.0,4.9705,nan
gHHe,vdW-DF,0.5,1000,64.0,4.9995,nan
gHHe,vdW-DF,0.5,1000,64.0,5.0285,nan
gHHe,vdW-DF,0.5,1000,64.0,5.0575,nan
gHHe,vdW-DF,0.5,1000,64.0,5.0865,nan
gHHe,vdW-DF,0.5,1000,64.0,5.1155,nan
gHHe,vdW-DF,0.5,1000,64.0,5.1445,nan
gHHe,vdW-DF,0.5,1000,64.0,5.1735,nan
gHHe,vdW-DF,0.5,1000,64.0,5.2025,nan
gHHe,vdW-DF,0.5,1000,64.0,5.2315,nan
gHHe,vdW-DF,0.5,1000,64.0,5.2605,nan
gHHe,vdW-DF,0.5,1000,64.0,5.2895,nan
gHHe,vdW-DF,0.5,1000,64.0,5.3185,nan
gHHe,vdW-DF,0.5,1000,64.0,5.3475,nan
gHHe,vdW-DF,0.5,1000,64.0,5.3765,nan
gHHe,vdW-DF,0.5,1000,64.0,5.4055,nan
gHHe,vdW-DF,0.5,1000,64.0,5.4345,nan
gHHe,vdW-DF,0.5,1000,64.0,5.4635,nan
gHHe,vdW-DF,0.5,1000,64.0,5.4925,nan
gHHe,vdW-DF,0.5,1000,64.0,5.5215,nan
gHHe,vdW-DF,0.5,1000,64.0,5.5505,nan
gHHe,vdW-DF,0.5,1000,64.0,5.5795,nan
gHHe,vdW-DF,0.5,1000,64.0,5.6085,nan
gHHe,vdW-DF,0.5,1000,64.0,5.6375,nan
gHHe,vdW-DF,0.5,1000,64.0,5.6665,nan
gHHe,vdW-DF,0.5,1000,64.0,5.6955,nan
gHHe,vdW-DF,0.5,1000,64.0,5.7245,nan
gHHe,vdW-DF,0.5,1000,64.0,5.7535,nan
gHHe,vdW-DF,0.5,1000,64.0,5.7825,nan
gHHe,vdW-DF,0.5,1000,64.0,5.8115,nan
gHHe,vdW-DF,0.5,1000,64.0,5.8405,nan
gHHe,vdW-DF,0.5,1000,64.0,5.8695,nan
gHHe,vdW-DF,0.5,1000,64.0,5.8985,nan
gHHe,vdW-DF,0.5,1000,64.0,5.9275,nan
gHHe,vdW-DF,0.5,1000,64.0,5.9565,nan
gHHe,vdW-DF,0.5,1000,64.0,5.9855,nan
gHHe,vdW-DF,0.5,1000,80.0,0.2145,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.2435,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.2725,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.3015,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.3305,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.3595,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.3885,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.4175,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.4465,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.4755,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.5045,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.5335,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.5625,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.5915,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.6205,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.6495,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.6785,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.7075,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.7365,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.7655,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.7945,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.8235,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.8525,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.8815,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.9105,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.9395,0.0
gHHe,vdW-DF,0.5,1000,80.0,0.9685,0.0005905575625
gHHe,vdW-DF,0.5,1000,80.0,0.9975,0.0025617912
gHHe,vdW-DF,0.5,1000,80.0,1.0265,0.007141894375
gHHe,vdW-DF,0.5,1000,80.0,1.0555,0.016729422
gHHe,vdW-DF,0.5,1000,80.0,1.0845,0.03503039375
gHHe,vdW-DF,0.5,1000,80.0,1.1135,0.07429033125
gHHe,vdW-DF,0.5,1000,80.0,1.1425,0.1491224
gHHe,vdW-DF,0.5,1000,80.0,1.1715,0.245499625
gHHe,vdW-DF,0.5,1000,80.0,1.2005,0.3989368
gHHe,vdW-DF,0.5,1000,80.0,1.2295,0.6017065
gHHe,vdW-DF,0.5,1000,80.0,1.2585,0.8424089333333
gHHe,vdW-DF,0.5,1000,80.0,1.2875,1.114573
gHHe,vdW-DF,0.5,1000,80.0,1.3165,1.361456
gHHe,vdW-DF,0.5,1000,80.0,1.3455,1.59332625
gHHe,vdW-DF,0.5,1000,80.0,1.3745,1.808249333333
gHHe,vdW-DF,0.5,1000,80.0,1.4035,1.92834625
gHHe,vdW-DF,0.5,1000,80.0,1.4325,2.032608125
gHHe,vdW-DF,0.5,1000,80.0,1.4615,2.056407333333
gHHe,vdW-DF,0.5,1000,80.0,1.4905,2.00993
gHHe,vdW-DF,0.5,1000,80.0,1.5195,1.939738
gHHe,vdW-DF,0.5,1000,80.0,1.5485,1.837925
gHHe,vdW-DF,0.5,1000,80.0,1.5775,1.702902
