method,x_he,temperature_K,volume_A3,pressure_GPa_used,energy_eV_per_atom,rho_invA3_used,density_g_cm3
vdW-DF,0.125,3000,66.9576,699.375,0.438955,0.8960894655722428,1.8969513654621275
vdW-DF,0.125,3000,59.67588,898.4,0.984985,1.0054313400992159,2.1284195683091216
vdW-DF,0.125,3000,42.66666,1833.21,3.10538,1.406250219726597,2.9769218108018523
vdW-DF,0.125,4000,319.9998,28.4022,-2.49004,0.18750011718757326,0.3969230941646431
vdW-DF,0.125,4000,284.4678,35.443999999999996,-2.40318,0.21092018147572414,0.4465015398862963
vdW-DF,0.125,4000,164.256,102.784,-1.69628,0.3652834599649328,0.7732765363095836
vdW-DF,0.125,4000,117.0,211.22899999999998,-1.08942,0.5128205128205128,1.0856009465646748
vdW-DF,0.125,4000,115.9998,215.128,-1.07132,0.517242271107364,1.0949614632789622
vdW-DF,0.125,4000,88.00019999999999,396.445,-0.367517,0.6818166322349268,1.443352523608662
vdW-DF,0.125,4000,87.0,406.88500000000005,-0.328658,0.6896551724137931,1.4599461005524939
vdW-DF,0.125,4000,85.9998,417.43199999999996,-0.291589,0.6976760411070724,1.4769256527115988
vdW-DF,0.125,4000,84.0,439.22999999999996,-0.220907,0.7142857142857143,1.5120870327150828
vdW-DF,0.125,4000,79.9998,488.947,-0.0528051,0.7500018750046876,1.587695353589221
vdW-DF,0.125,4000,76.00019999999999,546.6999999999999,0.130271,0.7894716066536668,1.6712496907648529
vdW-DF,0.125,4000,72.0,615.32,0.339858,0.8333333333333334,1.7641015381675966
vdW-DF,0.125,4000,67.9998,696.535,0.581628,0.8823555363398129,1.8678777106413103
vdW-DF,0.125,4000,64.0002,793.68,0.854088,0.9374970703216552,1.9846080285384566
vdW-DF,0.125,4000,60.0,911.521,1.17293,1.0,2.116921845801116
vdW-DF,0.125,4000,57.0,1017.6399999999999,1.44733,1.0526315789473684,2.2283387850538063
vdW-DF,0.125,4000,55.99998,1055.6599999999999,1.54112,1.0714289540817692,2.268131359119538
vdW-DF,0.125,4000,52.00002,1235.42,1.97396,1.1538457100593422,2.4426011903085225
vdW-DF,0.125,4000,48.419520000000006,1435.3799999999999,2.42903,1.239169657196106,2.6232253179723166
vdW-DF,0.125,4000,48.0,1461.41,2.48452,1.25,2.6461523072513953
vdW-DF,0.125,4000,45.14688,1661.1699999999998,2.91084,1.3289954920472908,2.813379590086113
vdW-DF,0.125,4000,43.99998,1752.3700000000001,3.09714,1.3636369834713562,2.8867129200528487
vdW-DF,0.125,4000,41.76882,1951.37,3.49453,1.4364782150896291,3.04091211454063
