#x_He	T[K]	v[A^3/atom]	p[Mbar]]	u[eV/atom]
0.78125	1000	2.57427	1.96941	0.308776
0.78125	1000	2.34432	2.46848	0.605586
0.78125	1000	2.05128	3.36345	1.09898
0.78125	1000	1.89746	4.0291	1.42956
0.78125	1000	1.64103	5.62011	2.16564
0.78125	1000	1.23618	10.6422	4.07292
0.78125	1000	0.799131	27.4564	8.70211
0.8125	1000	8.42105	0.0899679	-1.0375
0.8125	1000	4.21053	0.616368	-0.513951
0.8125	1000	2.80702	1.65905	0.267416
0.8125	1000	2.61153	1.97658	0.473686
0.8125	1000	2.40602	2.41467	0.743229
0.8125	1000	2.10526	3.30049	1.23616
0.8125	1000	1.93416	3.99735	1.59136
0.8125	1000	1.68421	5.51334	2.30022
0.8125	1000	1.27264	10.3847	4.18701
0.8125	1000	0.83371	26.0612	8.65024
0.84375	1000	8.64865	0.0783935	-0.9125
0.84375	1000	4.32432	0.601566	-0.368861
0.84375	1000	2.88288	1.63358	0.427461
0.84375	1000	2.6664	1.96904	0.643177
0.84375	1000	2.47104	2.35839	0.882795
0.84375	1000	2.16216	3.23925	1.3906
0.84375	1000	1.96703	4.04871	1.81119
0.84375	1000	1.72973	5.4392	2.46983
0.84375	1000	1.27893	10.7815	4.57401
0.84375	1000	0.822457	28.2271	9.50723
0.875	1000	8.88889	0.08485	-0.723953
0.875	1000	4.44444	0.574023	-0.222181
0.875	1000	2.96296	1.58087	0.562186
0.875	1000	2.69793	1.99364	0.842559
0.875	1000	2.53968	2.31249	1.04596
0.875	1000	2.22222	3.17221	1.541
0.875	1000	2.01254	4.00845	1.9891
0.875	1000	1.77778	5.3501	2.63878
0.875	1000	1.3425	10.1363	4.58345
0.875	1000	0.895091	24.6731	8.96488
0.90625	1000	9.14286	0.0714907	-0.567122
0.90625	1000	4.57143	0.555799	-0.0633341
0.90625	1000	3.04762	1.54616	0.730122
0.90625	1000	2.75413	1.98141	1.0259
0.90625	1000	2.61224	2.24933	1.19744
0.90625	1000	2.28571	3.10108	1.70122
0.90625	1000	2.04463	4.03308	2.20716
0.90625	1000	1.82857	5.24138	2.80006
0.90625	1000	1.34436	10.5832	4.99893
0.90625	1000	0.876477	27.0387	9.89122
0.9375	1000	9.41176	0.0776705	-0.380032
0.9375	1000	4.70588	0.542073	0.119576
0.9375	1000	3.13725	1.50848	0.902976
0.9375	1000	2.79784	1.99241	1.23575
0.9375	1000	2.68908	2.19646	1.36697
0.9375	1000	2.35294	3.02092	1.86474
0.9375	1000	2.08577	4.035	2.42818
0.9375	1000	1.88235	5.12849	2.97373
0.9375	1000	1.38827	10.3331	5.16503
0.9375	1000	0.922279	25.45	9.82295
0.96875	1000	9.69697	0.0750208	-0.184684
0.96875	1000	4.84848	0.525848	0.301395
0.96875	1000	3.23232	1.4647	1.08162
0.96875	1000	2.85478	1.98567	1.44462
0.96875	1000	2.77056	2.1385	1.54725
0.96875	1000	2.42424	2.95821	2.05872
0.96875	1000	2.13155	4.02718	2.65568
0.96875	1000	1.93939	5.02185	3.16321
0.96875	1000	1.42257	10.2753	5.42782
0.96875	1000	0.948144	25.2692	10.1557
1	1000	10	0.0681459	-0.0358106
1	1000	5	0.509501	0.499429
1	1000	3.33333	1.42015	1.27027
1	1000	2.91384	1.97467	1.6621
1	1000	2.85714	2.077	1.73341
1	1000	2.5	2.87861	2.24318
1	1000	2.16953	4.04077	2.90206
1	1000	2	4.90291	3.35264
1	1000	1.4371	10.5635	5.82295
1	1000	0.947185	26.6451	10.9061
0	2000	5	0.236291	-3.09459
0	2000	3.52451	0.52255	-2.83893
0	2000	2.55379	1.0366	-2.46553
0	2000	2.5	1.09604	-2.42538
0	2000	2.1163	1.52289	-2.11549
