section,panel,functional,series,x_he,x,y,y2
source,HSE,HSE,contour_raw,0.089,200.0,3468.2875555031633,
source,HSE,HSE,contour_raw,0.089,250.0,3708.333333333333,
source,HSE,HSE,contour_raw,0.089,300.0,3950.0,
source,HSE,HSE,contour_raw,0.089,350.0,4136.9047619047615,
source,HSE,HSE,contour_raw,0.089,400.0,4308.648108542014,
source,HSE,HSE,contour_raw,0.089,450.0,4339.285714285715,
source,HSE,HSE,contour_raw,0.089,500.0,4369.047619047619,
source,HSE,HSE,contour_raw,0.089,550.0,4433.823529411765,
source,HSE,HSE,contour_raw,0.089,600.0,4529.084119796687,
source,HSE,HSE,contour_raw,0.089,650.0,4558.823529411765,
source,HSE,HSE,contour_raw,0.089,700.0,4588.235294117647,
source,HSE,HSE,contour_raw,0.089,750.0,4599.675541559309,
source,HSE,HSE,contour_raw,0.089,800.0,4599.675541559309,
source,HSE,HSE,contour_raw,0.089,850.0,4599.675541559309,
source,HSE,HSE,contour_raw,0.089,900.0,4599.675541559309,
source,HSE,HSE,contour_raw,0.089,950.0,4599.675541559309,
source,HSE,HSE,contour_raw,0.089,1000.0,4599.675541559309,
source,HSE,HSE,contour_raw,0.15,300.0,4803.149606299213,
source,HSE,HSE,contour_raw,0.15,350.0,5050.72463768116,
source,HSE,HSE,contour_raw,0.15,400.0,5462.257849031396,
source,HSE,HSE,contour_raw,0.15,450.0,5630.434782608696,
source,HSE,HSE,contour_raw,0.15,500.0,5797.101449275362,
source,HSE,HSE,contour_raw,0.15,550.0,5963.768115942029,
source,HSE,HSE,contour_raw,0.15,600.0,6069.326066633952,
source,HSE,HSE,contour_raw,0.15,650.0,6139.7058823529405,
source,HSE,HSE,contour_raw,0.15,700.0,6147.058823529412,
source,HSE,HSE,contour_raw,0.15,750.0,6154.411764705882,
source,HSE,HSE,contour_raw,0.15,800.0,6162.887193071263,
source,HSE,HSE,contour_raw,0.15,850.0,6305.147058823529,
source,HSE,HSE,contour_raw,0.15,900.0,6412.5,
source,HSE,HSE,contour_raw,0.15,950.0,6481.25,
source,HSE,HSE,contour_raw,0.15,1000.0,6550.0,
source,HSE,HSE,contour_raw,0.2,450.0,6127.604166666666,
source,HSE,HSE,contour_raw,0.2,500.0,6187.5,
source,HSE,HSE,contour_raw,0.2,550.0,6248.149153699556,
source,HSE,HSE,contour_raw,0.2,600.0,6456.922965858758,
source,HSE,HSE,contour_raw,0.2,650.0,6579.457364341085,
source,HSE,HSE,contour_raw,0.2,700.0,6701.5503875969,
source,HSE,HSE,contour_raw,0.2,750.0,6823.643410852714,
source,HSE,HSE,contour_raw,0.2,800.0,6898.1813107183225,
source,HSE,HSE,contour_raw,0.2,850.0,7033.950617283951,
source,HSE,HSE,contour_raw,0.2,900.0,7154.3209876543215,
source,HSE,HSE,contour_raw,0.2,950.0,7274.691358024691,
source,HSE,HSE,contour_raw,0.2,1000.0,7395.061728395061,
source,HSE,HSE,contour_raw,0.25,500.0,6447.916666666666,
source,HSE,HSE,contour_raw,0.25,550.0,6633.720930232557,
source,HSE,HSE,contour_raw,0.25,600.0,6844.519865083565,
source,HSE,HSE,contour_raw,0.25,650.0,6967.054263565891,
source,HSE,HSE,contour_raw,0.25,700.0,7205.357142857143,
source,HSE,HSE,contour_raw,0.25,750.0,7486.607142857142,
source,HSE,HSE,contour_raw,0.25,800.0,7766.052062107407,
source,HSE,HSE,contour_raw,0.25,850.0,7830.357142857142,
source,HSE,HSE,contour_raw,0.25,900.0,7892.857142857143,
source,HSE,HSE,contour_raw,0.25,950.0,7955.357142857143,
source,ALL,,Jupiter_Militzer,,0.2737301122003273,4.215188468069567,
source,ALL,,Jupiter_Militzer,,0.3855516263093397,4.359201358470049,
source,ALL,,Jupiter_Militzer,,0.4973455564610176,4.540518792769452,
source,ALL,,Jupiter_Militzer,,0.6091593727214712,4.694942253560334,
source,ALL,,Jupiter_Militzer,,0.7209898676538018,4.8268094785053535,
source,ALL,,Jupiter_Militzer,,0.8287669321302242,4.936120467604516,
source,ALL,,Jupiter_Militzer,,0.959275542017642,5.073159572743486,
source,ALL,,Jupiter_Militzer,,1.1276550187344905,5.294417598540658,
source,ALL,,Jupiter_Militzer,,1.2394714009444632,5.4453708692014064,
source,ALL,,Jupiter_Militzer,,1.351296122490375,5.585046021939225,
