P_GPa,T_K,omega1,omega1_err,omega2,omega2_err,omega3,omega3_err
4.000000000000000000e+02,9.000000000000000000e+03,1.642782913889149210e+00,6.442780863609281691e-03,-1.799015037304487752e-01,1.284353485375545889e-02,2.984109427430142736e-01,2.668825414161312207e-02
4.000000000000000000e+02,1.000000000000000000e+04,1.655359031753401489e+00,6.945931931506822005e-03,-2.322651456666543490e-01,1.404651077497908081e-02,3.018438294055251769e-01,2.895729161670876697e-02
4.000000000000000000e+02,1.200000000000000000e+04,1.724097444344907304e+00,8.659848290272054161e-03,-3.019672555375813583e-01,1.751250211604434698e-02,3.100693600168499264e-01,3.610253354559938427e-02
6.000000000000000000e+02,8.000000000000000000e+03,1.638953118619671745e+00,1.691202400064653610e-02,-1.408332085701142766e-01,1.267829376852594968e-02,2.423266678400321228e-01,4.494354356408925000e-02
6.000000000000000000e+02,9.000000000000000000e+03,1.753446309920429158e+00,5.349462616023435528e-03,-1.446595312331405148e-01,1.066403004601398398e-02,2.933026441351604396e-01,2.215934742039007282e-02
8.000000000000000000e+02,8.000000000000000000e+03,1.662225945724918885e+00,2.589590055618712014e-02,-1.309509306066649337e-01,1.321349480524577381e-02,3.967451018643085026e-01,5.749744163792413348e-02
8.000000000000000000e+02,9.000000000000000000e+03,1.793993318686931460e+00,5.763740710551096096e-03,-2.195638998005573495e-01,1.148988404613316902e-02,2.836212470630806726e-01,2.387543241313756434e-02
8.000000000000000000e+02,1.000000000000000000e+04,1.813165413779006752e+00,5.307846045218693985e-03,-2.261834938096854430e-01,1.059930420163875120e-02,2.683997494694591590e-01,2.191505573627782616e-02
8.000000000000000000e+02,1.100000000000000000e+04,1.844595583450106879e+00,9.734131093537523247e-03,-3.700258402025554672e-01,1.841091415387055216e-02,1.545850516602688407e-01,4.031870077417632620e-02
1.000000000000000000e+03,8.000000000000000000e+03,1.663055909891378636e+00,3.451315941059310277e-02,-1.589686519363291417e-01,1.391200765011758010e-02,4.276746120770466009e-01,7.237746550465219697e-02
1.000000000000000000e+03,9.000000000000000000e+03,1.799497442642760126e+00,1.598235812379902865e-02,-2.097227530243415128e-01,1.689584309448647487e-02,2.205036717146707792e-01,4.713706169576148408e-02
1.000000000000000000e+03,1.000000000000000000e+04,1.889765999113674599e+00,6.983121906172300511e-03,-2.559330124782432936e-01,1.392069225826812924e-02,3.060449976688374152e-01,2.892653610146750376e-02
1.000000000000000000e+03,1.100000000000000000e+04,1.976976059190604040e+00,1.011814864162687705e-02,-2.823373354962690485e-01,1.818084794844106178e-02,2.819815397589545691e-01,3.852739486962882681e-02
1.000000000000000000e+03,1.200000000000000000e+04,1.934130561151812255e+00,8.019741379593469874e-03,-3.939296876144808834e-01,1.614436887950878100e-02,2.973014365383175317e-01,3.375548825799073310e-02
